Date	316 HK Equity	1378 HK Equity	883 HK Equity	1171 HK Equity	386 HK Equity	1308 HK Equity	1088 HK Equity	998 HK Equity	600019 CH Equity	1919 HK Equity	3988 HK Equity	1288 HK Equity	3323 HK Equity	762 HK Equity	857 HK Equity	3328 HK Equity	728 HK Equity	941 HK Equity	939 HK Equity	000651 CH Equity	601088 CH Equity	2007 HK Equity	601006 CH Equity	1398 HK Equity	002157 CH Equity	601155 CH Equity	267 HK Equity	1044 HK Equity	601328 CH Equity	600028 CH Equity	601169 CH Equity	17 HK Equity	868 HK Equity	601225 CH Equity	601988 CH Equity	688 HK Equity	000002 CH Equity	601818 CH Equity	601288 CH Equity	2628 HK Equity	6 HK Equity	601398 CH Equity	000069 CH Equity	600000 CH Equity	601939 CH Equity
12/28/18	53.150	4.420	11.980	6.270	5.410	7.120	17.220	4.710	7.400	2.185	3.340	3.400	5.200	8.130	4.810	6.030	3.980	73.900	6.360	40.630	20.446	8.960	9.369	5.460	6.045	26.969	12.120	56.800	6.591	5.749	6.387	41.360	8.480	8.470	4.110	26.250	27.117	4.212	4.098	16.340	54.200	6.022	7.229	11.157	7.252
1/2/19	52.200	4.250	11.320	6.090	5.440	7.000	16.680	4.660	7.251	2.231	3.320	3.380	5.190	8.070	4.630	5.960	3.920	73.400	6.270	40.879	20.291	8.95	9.352	5.43	6.086	27.587	11.84	57	6.474	5.721	6.337	40.56	8.52	8.358	4.042	25.4	27.291	4.168	4.019	16.2	53.5	5.938	6.817	11.076	7.137
1/3/19	51.300	4.160	11.480	6.040	5.540	7.000	16.640	4.610	7.327	2.223	3.330	3.390	5.060	8.080	4.760	6.000	3.890	74.100	6.290	40.932	20.158	8.6	9.219	5.44	6.153	27.656	12.14	57	6.586	5.743	6.381	40.72	8.35	8.353	4.045	26	27.428	4.273	4.034	16.02	53.75	5.926	6.814	11.179	7.133
1/4/19	52.500	4.170	12.080	6.140	5.640	6.930	17.100	4.650	7.425	2.292	3.370	3.430	5.100	8.320	4.880	6.050	3.910	76.800	6.410	41.800	20.609	9.06	9.272	5.52	6.398	28.627	12.36	57.3	6.683	5.817	6.489	42.72	8.16	8.520	4.083	26.5	28.433	4.380	4.094	16.4	54.85	6.010	6.991	11.359	7.254
1/7/19	52.750	4.310	12.380	6.290	5.740	6.990	17.540	4.700	7.514	2.346	3.380	3.430	5.160	8.330	4.910	6.110	3.970	77.950	6.420	41.723	20.644	9.2	9.424	5.54	6.759	28.811	12.32	56.95	6.668	5.925	6.485	43.36	8.21	8.601	4.083	26.75	28.650	4.392	4.083	16.66	54.85	5.993	7.080	11.414	7.251
1/8/19	52.750	4.470	12.440	6.250	5.750	6.960	17.640	4.680	7.595	2.377	3.380	3.430	5.110	8.290	4.950	6.150	3.980	78.450	6.420	41.565	21.069	9.01	9.356	5.52	6.760	28.812	12.28	57	6.691	5.993	6.497	44.72	8.23	8.647	4.049	26.8	28.595	4.369	4.038	16.58	55	5.948	7.000	11.392	7.252
1/9/19	53.500	4.760	12.720	6.370	6.010	7.020	18.000	4.760	7.736	2.438	3.420	3.510	5.230	8.560	5.030	6.240	3.950	79.800	6.570	43.116	21.230	9.14	9.414	5.69	6.816	28.610	12.48	57	6.759	6.150	6.529	44.96	8.53	8.747	4.081	27	29.116	4.448	4.081	17.18	55.55	6.046	7.173	11.483	7.368
1/10/19	53.500	4.720	12.820	6.280	6.090	7.170	17.980	4.730	7.713	2.446	3.420	3.480	5.240	8.500	5.030	6.190	4.000	79.750	6.570	43.598	21.314	9.2	9.260	5.69	6.662	28.322	12.5	56.65	6.754	6.119	6.570	45.04	8.7	8.810	4.064	26.65	28.992	4.434	4.053	17.38	54.4	6.027	7.239	11.500	7.320
1/11/19	53.400	4.770	12.820	6.360	6.140	7.210	18.560	4.780	7.813	2.469	3.420	3.490	5.380	8.500	5.060	6.300	4.060	80.000	6.580	43.739	21.458	9.36	9.460	5.71	6.851	28.738	12.4	57.1	6.863	6.202	6.643	45.52	8.64	8.845	4.092	27.45	29.330	4.486	4.092	17.42	54.65	6.075	7.245	11.651	7.373
1/14/19	53.850	4.850	12.220	6.510	6.040	6.930	18.320	4.720	7.822	2.431	3.380	3.440	5.460	8.330	4.900	6.340	3.990	80.050	6.490	43.662	21.576	9.08	9.363	5.63	7.010	28.922	12.18	56.8	6.825	6.130	6.582	45.2	8.54	8.888	4.056	27.5	28.992	4.473	4.056	16.88	54.1	6.025	7.138	11.657	7.300
