Date	316 HK Equity	1378 HK Equity	883 HK Equity	1171 HK Equity	386 HK Equity	1308 HK Equity	1088 HK Equity	998 HK Equity	600019 CH Equity	1919 HK Equity	3988 HK Equity	1288 HK Equity	3323 HK Equity	762 HK Equity	857 HK Equity	3328 HK Equity	728 HK Equity	941 HK Equity	939 HK Equity	000651 CH Equity	601088 CH Equity	2007 HK Equity	601006 CH Equity	1398 HK Equity	002157 CH Equity	601155 CH Equity	267 HK Equity	1044 HK Equity	601328 CH Equity	600028 CH Equity	601169 CH Equity	17 HK Equity	868 HK Equity	601225 CH Equity	601988 CH Equity	688 HK Equity	000002 CH Equity	601818 CH Equity	601288 CH Equity	2628 HK Equity	6 HK Equity	601398 CH Equity
12/29/17	-0.001325	0.001144	0.018051	-0.006522	0	0.007833	-0.007353	-0.006085	0.001302	0.012563	0.007874	0.002755	0.034024	0.001898	-0.005474	-0.001721	0.00813	0.013427	0.004184	-0.017594	-0.010173	-0.024869	0.009017	-0.004747	0.007744	-0.012942	-0.00177	-0.000576	0.003737	0.003874	0.004461	0.006861	0.009921	0.003968	0.006549	0.003992	0.00318	0.006285	0.020619	0.002041	-0.000758	0.012223
1/2/18	0.001326	0.017143	0.026738	0.073304	0.031414	0.003886	0.041975	0.022449	0.039733	0.027295	0.020833	0.021978	0.060086	0.030303	0.023853	0.017241	0.010753	0	0.030556	0.035867	0.030294	0.083221	0.009232	0.030207	0.006099	-0.006981	0.007092	-0.019597	0.013901	0.041853	0.006806	0.010221	0.062868	0.05789	0.005125	0.045726	0.051019	0.010026	0.007835	0.026477	0.002274	-0.000634
1/3/18	-0.003974	0.017978	0.008681	0.027523	-0.001692	0.00129	0.016588	0	-0.004498	0.019324	0.010204	0.010753	0.036437	0	-0.014337	-0.001695	-0.007979	-0.013249	-0.001348	0.009908	-0.022129	-0.009913	0.016351	0.003086	0.019692	-0.001842	-0.001761	0.023516	0.002027	0.014527	0.009975	0	0.009242	0.002326	0.003865	0.015209	-0.00821	0.006191	0.006629	0	0.007564	-0.004386
1/4/18	0.00133	0.007726	0.037866	-0.007937	0.040678	0.005155	-0.018648	0.003992	0.001921	0.007109	0.007576	0.021277	0.019531	0	0.050909	0.006791	-0.008043	-0.000639	0.021592	0.021189	-0.008645	-0.028786	-0.002432	0.010769	0.002505	0.014259	0.003527	-0.01838	-0.000788	0.067314	0.006314	0.010118	0	0.029759	0.0008	0.018727	0.025255	-0.001635	-0.001779	-0.013889	-0.000751	-0.013822
1/5/18	0	0.031763	0.008292	0.014	0.014658	0.010256	0.021378	0.001988	-0.006793	0.023529	0.007519	0.018229	0.00894	-0.003676	0.00346	0.008432	0.008108	-0.00128	0.005284	0.028983	0.025757	0.045103	0.01726	-0.001522	0.038499	0.043961	0.001757	-0.026916	-0.000547	0.024258	-0.000326	0.035058	-0.005495	-0.003459	-0.00396	0.027574	0.050614	0.005928	0.001045	-0.01006	0	0.002694
1/8/18	0.000664	0.04034	-0.013158	0.138067	0	-0.002538	0.055814	0.017857	0.0465	0.025287	-0.007463	0.002558	0.062025	0.00738	-0.006897	0.001672	0.002681	-0.000641	-0.003942	-0.001855	0.059156	0.073983	0.037414	-0.001524	0.017206	0.028528	0.015789	0.016236	0.003961	-0.002227	-0.009036	-0.006452	0.051565	0.061285	0.00672	0.051878	0.034545	0.001613	-0.003394	-0.010163	0.003005	-0.002455
1/9/18	-0.002654	0	0.001667	0.015598	0.012841	-0.007634	-0.004405	-0.001949	-0.02529	-0.058296	0	0	-0.022646	0.010989	0.003472	-0.006678	0.013369	-0.001282	0.001319	0.027724	-0.016445	-0.005741	0.004228	-0.007634	-0.017758	0.031647	-0.005181	-0.029586	-0.00967	-0.011996	-0.003562	0.01461	-0.005254	-0.015524	-0.017346	-0.005102	-0.009086	-0.012167	-0.012672	0.00616	0.003745	-0.00166
1/10/18	0.001331	0.026531	0.016639	0.003413	0.012678	0	-0.013274	0.044922	-0.002105	0.002381	0.007519	0.012755	0.013415	0	0.00692	0.013445	-0.007916	-0.006418	0.007905	0.036923	0.008266	0.066975	0.004426	0.006154	-0.017871	0.011384	0.005208	-0.011585	0.0098	0.02491	0.011724	-0.0064	-0.003521	-0.004144	0.021146	-0.006838	-0.001351	0.010751	0.024368	-0.004082	-0.006716	0.014942
1/11/18	-0.010631	0.005964	-0.001637	-0.02381	0	0.011688	-0.008969	0.016822	-0.022608	-0.004751	0.00995	0.002519	-0.078219	-0.014493	0.010309	0.006633	-0.005319	0.008398	0.002614	-0.003162	-0.023591	-0.003247	-0.007391	-0.001529	0.010092	0.061599	0.008636	0.001234	0.006499	-0.008063	0.001744	-0.003221	-0.010601	-0.02756	0.016658	0.005164	-0.01286	0.006595	0.02224	0.004098	-0.006011	0.009875
1/12/18	0	0.059289	0.02459	0.038328	0.018779	0.006418	0.027149	0.001838	0.035116	0.009547	0.012315	0.005025	0.035248	-0.012868	0.008503	0.01318	0	-0.003844	0.014342	0.054992	0.008822	-0.006515	0.002424	0.016845	0.023791	0.001192	-0.005137	0.002465	0.008676	0.01545	0.004131	0	-0.010714	0.015609	0.005509	0.011986	0.016951	0.007932	0.010549	0.016327	-0.000756	0.011985
