Date,HK.00316,HK.01378,HK.00883,HK.01171,HK.00386,HK.01308,HK.01088,HK.00998,600019.SS,HK.01919,HK.03988,HK.01288,HK.03323,HK.00762,HK.00857,HK.03328,HK.00728,HK.00941,HK.00939,000651.SZ,601088.SS,HK.02007,601006.SS,HK.01398,002157.SZ,601155.SS,HK.00267,HK.01044,601328.SS,600028.SS,601169.SS,HK.00017,HK.00868,601225.SS,601988.SS,HK.00688,000002.SZ,601818.SS,601288.SS,HK.02628,HK.00006,601398.SS,000069.SZ,600000.SS,601939.SS
2019-01-02,-8.936,2.57,9.39,2.5197,4.36632,3.37,12.11385,3.83193,5.095897197723389,2.230767,2.66221,2.75863,4.03633,7.41007,4.00843,4.88865,3.545,63.839,5.18044,30.04641342163086,14.272875785827637,7.1897,6.689788341522217,4.53789,5.013051509857178,20.963319778442383,10.477,49.01262,4.74574613571167,4.1136064529418945,4.671355724334717,33.86,6.25,6.26605749130249,3.008645534515381,22.25,20.959335327148438,3.1152775287628174,3.0111844539642334,14.45006,45.08,4.488945960998535,5.195596218109131,8.493142127990723,5.4279465675354
2019-01-03,-9.836,2.48,9.55,2.4697,4.46632,3.37,12.07385,3.78193,5.160097122192383,2.2230747,2.67221,2.76863,3.90633,7.42007,4.13843,4.92865,3.515,64.539,5.20044,30.147127151489258,14.208620071411133,6.8397,6.608105659484863,4.54789,5.078888893127441,21.058765411376953,10.777,49.01262,4.837815284729004,4.138238906860352,4.713440418243408,34.02,6.08,6.274617671966553,3.0171446800231934,22.85,21.10841941833496,3.200627565383911,3.0282933712005615,14.27006,45.33,4.488945960998535,5.204299449920654,8.589457511901855,5.436631679534912
2019-01-04,-8.636,2.49,10.15,2.5697,4.56632,3.3,12.53385,3.82193,5.224297523498535,2.2923054,2.71221,2.80863,3.94633,7.66007,4.25843,4.97865,3.535,67.239,5.32044,30.759807586669922,14.513836860656738,7.2997,6.6407790184021,4.62789,5.276401519775391,21.778945922851562,10.997,49.31262,4.9047746658325195,4.187503337860107,4.789191722869873,36.02,5.89,6.394460201263428,3.0426416397094727,23.35,21.862606048583984,3.277442693710327,3.071065902709961,14.65006,46.43,4.549374103546143,5.334841728210449,8.720794677734375,5.5234785079956055
2019-01-07,-8.386,2.63,10.45,2.7197,4.66632,3.36,12.97385,3.87193,5.27244758605957,2.3461515,2.72221,2.80863,4.00633,7.67007,4.28843,5.03865,3.595,68.389,5.33044,30.61713218688965,14.497771263122559,7.4397,6.7306294441223145,4.64789,5.5585618019104,21.857036590576172,10.957,48.96262,4.879664421081543,4.253189563751221,4.772358417510986,36.66,5.94,6.437261581420898,3.0341427326202393,23.6,21.96784019470215,3.277442693710327,3.0539567470550537,14.91006,46.43,4.5234761238098145,5.387058734893799,8.73830509185791,5.506109237670898
2019-01-08,-8.386,2.79,10.51,2.6797,4.67632,3.33,13.07385,3.85193,5.328622341156006,2.3769207,2.72221,2.80863,3.95633,7.63007,4.32843,5.07865,3.605,68.889,5.33044,30.499631881713867,14.794957160949707,7.2497,6.681620121002197,4.62789,5.5585618019104,21.857036590576172,10.917,49.01262,4.896404266357422,4.302454948425293,4.7807745933532715,38.02,5.96,6.471502304077148,3.008645534515381,23.65,21.923992156982422,3.2603724002838135,3.0197389125823975,14.83006,46.58,4.488945960998535,5.326138496398926,8.720794677734375,5.506109237670898
2019-01-09,-7.636,3.08,10.79,2.7997,4.93632,3.39,13.43385,3.93193,5.400848388671875,2.4384591,2.76221,2.88863,4.07633,7.90007,4.40843,5.16865,3.575,70.239,5.48044,31.481592178344727,14.835115432739258,7.3797,6.689788341522217,4.79789,5.577372074127197,21.596731185913086,11.117,49.01262,4.92151403427124,4.392773151397705,4.7807745933532715,38.26,6.26,6.514303207397461,3.0171446800231934,23.85,22.213388442993164,3.3030476570129395,3.0368478298187256,15.43006,47.13,4.540741443634033,5.430572509765625,8.747060775756836,5.566902160644531
2019-01-10,-7.636,3.04,10.89,2.7097,5.01632,3.54,13.41385,3.90193,5.360722541809082,2.4461514,2.76221,2.85863,4.08633,7.84007,4.40843,5.11865,3.625,70.189,5.48044,31.69141387939453,14.827082633972168,7.4397,6.550928592681885,4.79789,5.426887035369873,21.28436279296875,11.137,48.66262,4.896404266357422,4.351719856262207,4.789191722869873,38.34,6.43,6.531423568725586,2.991647481918335,23.5,22.020458221435547,3.277442693710327,3.0026299953460693,15.63006,45.98,4.506210803985596,5.456681251525879,8.720794677734375,5.506109237670898
2019-01-11,-7.736,3.09,10.89,2.7897,5.06632,3.58,13.99385,3.95193,5.408873081207275,2.4692283,2.76221,2.86863,4.22633,7.84007,4.43843,5.22865,3.685,70.439,5.49044,31.66623306274414,14.867244720458984,7.5997,6.665283203125,4.81789,5.5585618019104,21.50996208190918,11.037,49.11262,4.954993724822998,4.392773151397705,4.822859287261963,38.82,6.37,6.531423568725586,3.0001468658447266,24.3,22.18707847595215,3.3030476570129395,3.0197389125823975,15.67006,46.23,4.5234761238098145,5.439275741577148,8.799596786499023,5.5234785079956055
2019-01-14,-7.286,3.17,10.29,2.9397,4.96632,3.3,13.75385,3.89193,5.416898727416992,2.4307668,2.72221,2.81863,4.30633,7.67007,4.27843,5.26865,3.615,70.489,5.40044,31.6242733001709,14.955595970153809,7.3197,6.599937438964844,4.73789,5.690237045288086,21.657468795776367,10.817,48.81262,4.92988395690918,4.343508243560791,4.7807745933532715,38.5,6.27,6.565664291381836,2.974649667739868,24.35,21.941532135009766,3.2945125102996826,2.9940755367279053,15.13006,45.68,4.488945960998535,5.360949993133545,8.80835247039795,5.471370220184326
2019-01-15,-7.336,3.34,10.79,3.2397,5.03632,3.16,14.13385,3.94193,5.448998928070068,2.4384591,2.77221,2.88863,4.56633,8.03007,4.38843,5.36865,3.765,72.039,5.51044,32.5474853515625,14.995757102966309,7.6897,6.632610321044922,4.80789,5.727858543395996,22.1954345703125,10.917,48.81262,4.980103492736816,4.376352310180664,4.814442157745361,39.3,6.42,6.591344356536865,2.991647481918335,24.8,22.064306259155273,3.328652858734131,3.0197389125823975,15.85006,45.83,4.514843940734863,5.378355979919434,8.852130889892578,5.540848255157471
